1927/1928  1        Actor|Richard Barthelmess|The Noose
             Winner Actor|Emil Jannings|The Last Command
                    Actress|Louise Dresser|A Ship Comes In
             Winner Actress|Janet Gaynor|7th Heaven
                    Actress|Gloria Swanson|Sadie Thompson
                    Art Direction|Rochus Gliese|Sunrise
             Winner Art Direction|William Cameron Menzies|The Dove; Tempest
                    Art Direction|Harry Oliver|7th Heaven
                    Cinematography|George Barnes|The Devil Dancer; The Magic Flame; Sadie Thompson
             Winner Cinematography|Charles Rosher|Sunrise
             Winner Cinematography|Karl Struss|Sunrise
             Winner Directing (Comedy Picture)|Lewis Milestone|Two Arabian Knights
                    Directing (Comedy Picture)|Ted Wilde|Speedy
             Winner Directing (Dramatic Picture)|Frank Borzage|7th Heaven
                    Directing (Dramatic Picture)|Herbert Brenon|Sorrell and Son
                    Directing (Dramatic Picture)|King Vidor|The Crowd
                    Engineering Effects|Ralph Hammeras|
             Winner Engineering Effects|Roy Pomeroy|Wings
                    Engineering Effects|Nugent Slaughter|
                    Outstanding Picture|The Caddo Company|The Racket
                    Outstanding Picture|Fox|7th Heaven
             Winner Outstanding Picture|Paramount Famous Lasky|Wings
             Winner Unique and Artistic Picture|Fox|Sunrise
                    Unique and Artistic Picture|Metro-Goldwyn-Mayer|The Crowd
                    Unique and Artistic Picture|Paramount Famous Lasky|Chang
                    Writing (Adaptation)|Alfred Cohn|The Jazz Singer
                    Writing (Adaptation)|Anthony Coldeway|Glorious Betsy
             Winner Writing (Adaptation)|Benjamin Glazer|7th Heaven
                    Writing (Original Story)|Lajos Biro|The Last Command
             Winner Writing (Original Story)|Ben Hecht|Underworld
                    Writing (Title Writing)|Gerald Duffy|The Private Life of Helen of Troy
             Winner Writing (Title Writing)|Joseph Farnham|
                    Writing (Title Writing)|George Marion, Jr.|
             Winner Special Award|Warner Brothers|The Jazz Singer
             Winner Special Award|Charles Chaplin|The Circus
1928/1929  2        Actor|George Bancroft|Thunderbolt
             Winner Actor|Warner Baxter|In Old Arizona
                    Actor|Chester Morris|Alibi
                    Actor|Paul Muni|The Valiant
                    Actor|Lewis Stone|The Patriot
                    Actress|Ruth Chatterton|Madame X
                    Actress|Betty Compson|The Barker
                    Actress|Jeanne Eagels|The Letter
                    Actress|Corinne Griffith|The Divine Lady
                    Actress|Bessie Love|The Broadway Melody
             Winner Actress|Mary Pickford|Coquette
                    Art Direction|Hans Dreier|The Patriot
             Winner Art Direction|Cedric Gibbons|The Bridge of San Luis Rey
                    Art Direction|Mitchell Leisen|Dynamite
                    Art Direction|William Cameron Menzies|Alibi; and The Awakening
                    Art Direction|Harry Oliver|Street Angel
                    Cinematography|George Barnes|Our Dancing Daughters
             Winner Cinematography|Clyde De Vinna|White Shadows in the South Seas
                    Cinematography|Arthur Edeson|In Old Arizona
                    Cinematography|Ernest Palmer|Four Devils; and Street Angel
                    Cinematography|John Seitz|The Divine Lady
                    Directing|Lionel Barrymore|Madame X
                    Directing|Harry Beaumont|The Broadway Melody
                    Directing|Irving Cummings|In Old Arizona
             Winner Directing|Frank Lloyd|The Divine Lady
                    Directing|Frank Lloyd|Drag; and Weary River
                    Directing|Ernst Lubitsch|The Patriot
                    Outstanding Picture|Feature Productions|Alibi
                    Outstanding Picture|Fox|In Old Arizona
             Winner Outstanding Picture|Metro-Goldwyn-Mayer|The Broadway Melody
                    Outstanding Picture|Metro-Goldwyn-Mayer|Hollywood Revue
                    Outstanding Picture|Paramount Famous Lasky|The Patriot
                    Writing|Tom Barry|In Old Arizona; and The Valiant
                    Writing|Elliott Clawson|The Cop; The Leatherneck; Sal of Singapore; and Skyscraper
                    Writing|Hans Kraly|The Last of Mrs. Cheyney
             Winner Writing|Hans Kraly|The Patriot
                    Writing|Josephine Lovett|Our Dancing Daughters
                    Writing|Bess Meredyth|A Woman of Affairs; and Wonder of Women
1929/1930  3 Winner Actor|George Arliss|Disraeli
                    Actor|George Arliss|The Green Goddess
                    Actor|Wallace Beery|The Big House
                    Actor|Maurice Chevalier|The Big Pond
                    Actor|Ronald Colman|Bulldog Drummond
                    Actor|Lawrence Tibbett|The Rogue Song
                    Actress|Nancy Carroll|The Devil's Holiday
                    Actress|Ruth Chatterton|Sarah and Son
                    Actress|Greta Garbo|Anna Christie
             Winner Actress|Norma Shearer|The Divorcee
                    Actress|Norma Shearer|Their Own Desire
                    Actress|Gloria Swanson|The Trespasser
